2022-04-06 14:01:49 INFO     start sniffing data...
2022-04-06 14:02:52 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:02:53 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:02:54 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:02:55 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:02:56 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:02:57 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:02:58 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:02:59 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:00 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:01 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:02 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:03 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:04 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:05 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:06 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:07 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:03:08 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:09 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:10 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:11 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:12 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:13 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:14 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:15 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:16 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:17 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:18 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:19 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:03:20 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:03:21 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:22 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:23 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:24 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:25 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:26 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:27 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:28 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:29 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:30 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:31 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:32 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:03:33 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:03:34 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:03:35 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:36 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:37 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:38 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:39 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:41 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:42 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:43 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:44 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:45 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:46 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:47 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:03:48 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:03:49 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:03:50 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:03:51 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:52 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:53 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:54 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:55 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:56 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:57 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:58 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:03:59 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:00 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:01 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:02 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:04:03 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:04:04 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:04:05 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:04:06 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:04:07 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:08 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:09 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:10 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:11 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:12 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:13 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:14 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:15 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:16 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:17 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:18 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
